#Annotated with Bakta (v1.0.3): https://github.com/oschwengers/bakta
#Database (v2.0): https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	732	995	-	NLHPKH_00005		hypothetical protein	
contig_1	cds	1001	1723	-	NLHPKH_00010	tnp-IS6	IS6-like element IS26 family transposase	COG:COG3316, COG:X, RefSeq:WP_001313567.1, SO:0001217, UniParc:UPI000049F13E, UniRef100:UniRef100_A0A6D1P4S9, UniRef50:UniRef50_C7EZD9, UniRef90:UniRef90_C7EZD9
contig_1	cds	1819	2049	-	NLHPKH_00015		hypothetical protein	
contig_1	cds	2082	2234	-	NLHPKH_00020		hypothetical protein	
contig_1	cds	2527	3195	-	NLHPKH_00025		TetA resistance protein	COG:COG1309, COG:K, RefSeq:WP_031942322.1, SO:0001217, UniParc:UPI0004E05D41, UniRef100:UniRef100_A0A2P4S2Q8, UniRef50:UniRef50_P03038, UniRef90:UniRef90_D3INX2
contig_1	cds	3296	4495	+	NLHPKH_00030	tet(A)	tetracycline efflux MFS transporter Tet(A)	COG:COG2814, COG:G, GO:0005886, GO:0006811, GO:0015297, GO:0016021, GO:0042910, GO:0046677, RefSeq:WP_031942321.1, SO:0001217, UniParc:UPI000158AAE9, UniRef100:UniRef100_A0A2P9EBP7, UniRef50:UniRef50_P02982, UniRef90:UniRef90_P02982
contig_1	cds	5004	5237	-	NLHPKH_00035		hypothetical protein	SO:0001217, UniRef50:UniRef50_A0A366EMY7, UniRef90:UniRef90_A0A366EMY7
contig_1	cds	5532	6254	+	NLHPKH_00040	tnp-IS6	IS6-like element IS26 family transposase	COG:COG3316, COG:X, SO:0001217, UniRef50:UniRef50_A0A345N8K8, UniRef90:UniRef90_A0A482M3B9
contig_1	cds	6343	6780	+	NLHPKH_00045		Mrr_cat domain-containing protein	COG:COG1715, COG:V, RefSeq:WP_020325134.1, SO:0001217, UniParc:UPI0003430F42, UniRef100:UniRef100_A0A6C7H2D2, UniRef50:UniRef50_W8RB39, UniRef90:UniRef90_A0A6C7H2D2
contig_1	cds	6824	6991	+	NLHPKH_00050		Putative hemolysin expression modulating protein	SO:0001217, UniParc:UPI0001824699, UniRef100:UniRef100_F6IBA3, UniRef50:UniRef50_A0A0K0VKY9, UniRef90:UniRef90_F6IBA3
