#Annotated with Bakta v1.0.3, https://github.com/oschwengers/bakta
#Database v2.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	732	995	-	NLHPKH_00005	92.5	10.1		
contig_1	1819	2049	-	NLHPKH_00015	88.4	9.7		
contig_1	2082	2234	-	NLHPKH_00020	57.6	9.2		
contig_1	5004	5237	-	NLHPKH_00035	92.5	6.2		SO:0001217, UniRef50:UniRef50_A0A366EMY7, UniRef90:UniRef90_A0A366EMY7
contig_1	7610	7891	-	NLHPKH_00055	107.1	9.7		
contig_1	7913	8095	-	NLHPKH_00060	70.4	9.8		
contig_1	10061	10183	-	NLHPKH_00075	46.9	9.4		SO:0001217, UniParc:UPI0003DBF152, UniRef100:UniRef100_A0A068F2N7, UniRef50:UniRef50_A0A068F2N7, UniRef90:UniRef90_A0A068F2N7
contig_1	11760	12188	-	NLHPKH_00085	161.3	10.1	PF00186.21|DHFR_1	
contig_1	19779	19964	+	NLHPKH_00135	72.1	9.7		
contig_1	20249	20488	+	NLHPKH_00140	86.5	10.0		SO:0001217, UniParc:UPI0003FD25A5, UniRef100:UniRef100_A0A366EM98, UniRef50:UniRef50_A0A366EM98, UniRef90:UniRef90_A0A366EM98
contig_1	29802	30017	+	NLHPKH_00200	77.3	9.3		SO:0001217, UniParc:UPI0003C06935, UniRef100:UniRef100_A0A173QS84, UniRef50:UniRef50_A0A4D9YQJ2, UniRef90:UniRef90_A0A173QS84
contig_1	32021	32197	+	NLHPKH_00225	72.7	10.2	PF13610.8|DDE_Tnp_IS240	
contig_1	32474	32569	+	NLHPKH_00235	35.3	11.7		
contig_1	32609	32968	+	NLHPKH_00240	135.7	8.9		
contig_1	32865	33257	-	NLHPKH_00245	136.1	11.1		
contig_1	33588	34052	+	NLHPKH_00250	172.7	8.5	PF01526.19|DDE_Tnp_Tn3	
contig_1	35775	35960	+	NLHPKH_00270	73.2	10.4		
contig_1	36115	36498	-	NLHPKH_00275	145.1	9.6		
contig_1	36508	36969	-	NLHPKH_00280	172.9	10.1		SO:0001217, UniRef50:UniRef50_A0A486KSZ2, UniRef90:UniRef90_A0A486KSZ2
contig_1	38968	39237	+	NLHPKH_00295	100.4	10.3		
contig_1	40011	40229	-	NLHPKH_00310	87.5	10.3	PF13610.8|DDE_Tnp_IS240	
contig_1	40523	41473	-	NLHPKH_00320	360.7	10.9	PF13495.8|Phage_int_SAM_4	
contig_1	43309	43485	-	NLHPKH_00345	68.2	8.8		
contig_1	43502	43741	+	NLHPKH_00350	94.4	10.2		
contig_1	43912	44094	+	NLHPKH_00355	68.7	9.6	PF00302.20|CAT	
contig_1	44094	44216	+	NLHPKH_00360	45.9	5.2	PF00302.20|CAT	
contig_1	44624	44854	-	NLHPKH_00365	86.9	10.8		
contig_1	45012	45119	+	NLHPKH_00370	39.0	9.4		
contig_1	45082	45684	+	NLHPKH_00375	225.4	5.2		
