#Annotated with Bakta (v1.0.3): https://github.com/oschwengers/bakta
#Database (v2.0): https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	732	995	-	HAFFOH_00005		hypothetical protein	
contig_1	cds	1001	1723	-	HAFFOH_00010	tnp-IS6	IS6-like element IS26 family transposase	COG:COG3316, COG:X, RefSeq:WP_001313567.1, SO:0001217, UniParc:UPI000049F13E, UniRef100:UniRef100_A0A6D1P4S9, UniRef50:UniRef50_C7EZD9, UniRef90:UniRef90_C7EZD9
contig_1	cds	1819	2331	-	HAFFOH_00015		hypothetical protein	SO:0001217, UniParc:UPI000793608D, UniRef100:UniRef100_A0A6S5K651, UniRef50:UniRef50_F6IBB7, UniRef90:UniRef90_F6IBB7
contig_1	cds	2527	3195	-	HAFFOH_00020		TetA resistance protein	COG:COG1309, COG:K, RefSeq:WP_031942322.1, SO:0001217, UniParc:UPI0004E05D41, UniRef100:UniRef100_A0A2P4S2Q8, UniRef50:UniRef50_P03038, UniRef90:UniRef90_D3INX2
contig_1	cds	3296	4495	+	HAFFOH_00025	tet(A)	tetracycline efflux MFS transporter Tet(A)	COG:COG2814, COG:G, GO:0005886, GO:0006811, GO:0015297, GO:0016021, GO:0042910, GO:0046677, RefSeq:WP_031942321.1, SO:0001217, UniParc:UPI000158AAE9, UniRef100:UniRef100_A0A2P9EBP7, UniRef50:UniRef50_P02982, UniRef90:UniRef90_P02982
contig_1	cds	4520	4639	+	HAFFOH_00030		hypothetical protein	
contig_1	cds	5004	5243	-	HAFFOH_00035		hypothetical protein	SO:0001217, UniRef50:UniRef50_A0A366EMY7, UniRef90:UniRef90_A0A366EMY7
contig_1	cds	5532	6254	+	HAFFOH_00040	tnp-IS6	IS6-like element IS26 family transposase	COG:COG3316, COG:X, SO:0001217, UniRef50:UniRef50_A0A345N8K8, UniRef90:UniRef90_A0A482M3B9
contig_1	cds	6526	6780	+	HAFFOH_00045		Mrr protein	SO:0001217, UniParc:UPI0003843C7F, UniRef100:UniRef100_S4X0L7, UniRef50:UniRef50_S4X0L7, UniRef90:UniRef90_S4X0L7
contig_1	cds	7610	7891	-	HAFFOH_00050		hypothetical protein	
contig_1	cds	7913	8095	-	HAFFOH_00055		hypothetical protein	
contig_1	cds	8123	8806	+	HAFFOH_00060	ecoRIIM	Modification methylase EcoRII	COG:COG0270, COG:L, EC:2.1.1.37, GO:0003886, GO:0009307, RefSeq:WP_080902038.1, SO:0001217, UniParc:UPI0009BBEDB3, UniRef100:UniRef100_A0A3G4RR15, UniRef50:UniRef50_P05101, UniRef90:UniRef90_P05101
contig_1	cds	8840	10054	-	HAFFOH_00065	ecoRIIR	type II site-specific deoxyribonuclease	EC:3.1.21.4, GO:0003677, GO:0009036, GO:0009307, RefSeq:WP_004098817.1, SO:0001217, UniParc:UPI0000DAD75F, UniRef100:UniRef100_F6IBA5, UniRef50:UniRef50_P14633, UniRef90:UniRef90_P14633
contig_1	cds	10315	11115	-	HAFFOH_00070	tnp-IS6100	IS6-like element IS6100 family transposase	SO:0001217, UniParc:UPI0000697684, UniRef100:UniRef100_C7S9U1, UniRef50:UniRef50_E2CSF8, UniRef90:UniRef90_Q6QWQ8
contig_1	cds	11222	11497	-	HAFFOH_00075		MobC domain-containing protein	SO:0001217, UniParc:UPI0005833FAD, UniRef100:UniRef100_A0A679FEV3, UniRef50:UniRef50_A0A679FEV3, UniRef90:UniRef90_A0A679FEV3
contig_1	cds	11709	12182	-	HAFFOH_00080	dfrA14	trimethoprim-resistant dihydrofolate reductase DfrA14	COG:COG0262, COG:H, RefSeq:WP_004201280.1, SO:0001217, UniParc:UPI00005051FA, UniRef100:UniRef100_F8T8W2, UniRef50:UniRef50_P00382, UniRef90:UniRef90_F8T8W2
contig_1	ncRNA-region	12176	12248	-			putative aminoglycoside riboswitch / attI site	RFAM:RF02912, SO:0000035
contig_1	sorf	12198	12236	-	HAFFOH_00085	estX	Streptothricin acetyltransferase	SO:0001217, UniParc:UPI00000B6A7E, UniRef100:UniRef100_A9QNW9, UniRef50:UniRef50_A0A2R4A7Q1, UniRef90:UniRef90_B2G4W1
contig_1	cds	12338	13351	+	HAFFOH_00090	intI1	class 1 integron integrase IntI1	COG:COG4974, COG:L, GO:0003677, GO:0006310, GO:0015074, GO:0044826, GO:0046718, GO:0075713, RefSeq:WP_000845048.1, SO:0001217, UniParc:UPI0000000166, UniRef100:UniRef100_P62590, UniRef50:UniRef50_P62590, UniRef90:UniRef90_P62590
contig_1	cds	13879	14601	+	HAFFOH_00095	tnp-IS6	IS6-like element IS26 family transposase	COG:COG3316, COG:X, RefSeq:WP_001313567.1, SO:0001217, UniParc:UPI000049F13E, UniRef100:UniRef100_A0A6D1P4S9, UniRef50:UniRef50_C7EZD9, UniRef90:UniRef90_C7EZD9
contig_1	cds	14731	15309	+	HAFFOH_00100		Oxidoreductase	SO:0001217, UniParc:UPI0003DCE8C1, UniRef100:UniRef100_A0A6V8T284, UniRef50:UniRef50_A0A486LCL0, UniRef90:UniRef90_A0A486LCL0
contig_1	cds	15401	16045	-	HAFFOH_00105	qnrB1	quinolone resistance pentapeptide repeat protein QnrB1	COG:COG1357, COG:S, RefSeq:WP_014386481.1, SO:0001217, UniParc:UPI00025283F3, UniRef100:UniRef100_A0A5S9ED61, UniRef50:UniRef50_Q2PT27, UniRef90:UniRef90_A0A0H4IRC3
contig_1	cds	16617	19634	-	HAFFOH_00110		Tn3-like element IS3000 family transposase	RefSeq:WP_004199413.1, SO:0001217, UniParc:UPI00024359C9, UniRef100:UniRef100_T1TGK7, UniRef50:UniRef50_T2FKX8, UniRef90:UniRef90_T2FKX8
contig_1	cds	20262	20501	+	HAFFOH_00115		hypothetical protein	SO:0001217, UniParc:UPI0003FD25A5, UniRef100:UniRef100_A0A366EM98, UniRef50:UniRef50_A0A366EM98, UniRef90:UniRef90_A0A366EM98
contig_1	cds	20495	21217	+	HAFFOH_00120	tnp-IS6	IS6-like element IS26 family transposase	COG:COG3316, COG:X, RefSeq:WP_001313567.1, SO:0001217, UniParc:UPI000049F13E, UniRef100:UniRef100_A0A6D1P4S9, UniRef50:UniRef50_C7EZD9, UniRef90:UniRef90_C7EZD9
contig_1	cds	21163	22011	-	HAFFOH_00125		Integrase	COG:COG2963, COG:X, SO:0001217, UniParc:UPI0001B22EC9, UniRef100:UniRef100_C7S9D6, UniRef50:UniRef50_N8RCI9, UniRef90:UniRef90_C7S9D6
contig_1	cds	22008	22340	-	HAFFOH_00130	tnp-IS3	IS3 family transposase	COG:COG2963, COG:X, SO:0001217, UniParc:UPI0001B22EC8, UniRef100:UniRef100_Q6SJ66, UniRef50:UniRef50_A0A2P9E4M0, UniRef90:UniRef90_A0A2P9E4M0
contig_1	cds	22411	22953	-	HAFFOH_00135		AAA family ATPase	RefSeq:WP_002063889.1, SO:0001217, UniParc:UPI00000BF810, UniRef100:UniRef100_Q6SJ67, UniRef50:UniRef50_Q6SJ67, UniRef90:UniRef90_Q6SJ67
contig_1	cds	22966	23826	-	HAFFOH_00140	aac(3)-IIe	aminoglycoside N-acetyltransferase AAC(3)-IIe	RefSeq:WP_000557452.1, SO:0001217, UniParc:UPI0000000849, UniRef100:UniRef100_P0A256, UniRef90:UniRef90_P0A256
contig_1	cds	23915	24637	+	HAFFOH_00145	tnp-IS6	IS6-like element IS26 family transposase	COG:COG3316, COG:X, RefSeq:WP_001313567.1, SO:0001217, UniParc:UPI000049F13E, UniRef100:UniRef100_A0A6D1P4S9, UniRef50:UniRef50_C7EZD9, UniRef90:UniRef90_C7EZD9
contig_1	cds	24583	25131	-	HAFFOH_00150	catB3	type B-3 chloramphenicol O-acetyltransferase CatB3	RefSeq:WP_012783949.1, SO:0001217, UniParc:UPI0001B22EC7, UniRef100:UniRef100_C7S9D1, UniRef50:UniRef50_P26841, UniRef90:UniRef90_C7S9D1
contig_1	cds	25269	25901	-	HAFFOH_00155	blaOXA	OXA-1 family class D beta-lactamase	COG:COG2602, COG:V, EC:3.5.2.6, GO:0008658, GO:0008800, GO:0017001, GO:0046677, SO:0001217, UniParc:UPI000676CECF, UniRef100:UniRef100_A0A0D4ZXG6, UniRef50:UniRef50_P13661, UniRef90:UniRef90_P13661
contig_1	cds	26230	26922	-	HAFFOH_00160	aac(6')-Ib-cr	fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr	COG:COG1670, COG:JO, SO:0001217, UniParc:UPI0001B22EC5, UniRef100:UniRef100_C7S9C9, UniRef50:UniRef50_Q849Y4, UniRef90:UniRef90_A0A0C5EWG3
contig_1	cds	26928	27650	-	HAFFOH_00165	tnp-IS6	IS6-like element IS26 family transposase	COG:COG3316, COG:X, RefSeq:WP_001313567.1, SO:0001217, UniParc:UPI000049F13E, UniRef100:UniRef100_A0A6D1P4S9, UniRef50:UniRef50_C7EZD9, UniRef90:UniRef90_C7EZD9
contig_1	cds	27679	29319	-	HAFFOH_00170		DDE_Tnp_Tn3 domain-containing protein	SO:0001217, UniRef50:UniRef50_A0A6C7H588, UniRef90:UniRef90_A0A6J4DJI3
contig_1	cds	29999	30298	-	HAFFOH_00175		hypothetical protein	SO:0001217, UniRef50:UniRef50_A0A0K2YQR7, UniRef90:UniRef90_A0A0K2YQR7
contig_1	cds	30333	31208	-	HAFFOH_00180	blaCTX-M-15	class A extended-spectrum beta-lactamase CTX-M-15	EC:3.5.2.6, GO:0008800, GO:0030655, GO:0046677, RefSeq:WP_000239590.1, SO:0001217, UniParc:UPI00000B17B8, UniRef100:UniRef100_C7S9T0, UniRef50:UniRef50_P52664, UniRef90:UniRef90_P28585
contig_1	cds	31464	31703	-	HAFFOH_00185		IS1380 family transposase	SO:0001217, UniRef50:UniRef50_A0A220UUN6, UniRef90:UniRef90_A0A6W0KQA1
contig_1	cds	31857	32579	+	HAFFOH_00190	tnp-IS6	IS6-like element IS26 family transposase	COG:COG3316, COG:X, RefSeq:WP_001313567.1, SO:0001217, UniParc:UPI000049F13E, UniRef100:UniRef100_A0A6D1P4S9, UniRef50:UniRef50_C7EZD9, UniRef90:UniRef90_C7EZD9
contig_1	cds	32619	34397	+	HAFFOH_00195		Mobile element protein	SO:0001217, UniParc:UPI00018246AD, UniRef100:UniRef100_C6G9V4, UniRef50:UniRef50_R4WC23, UniRef90:UniRef90_A0A0X8XBR1
contig_1	cds	34791	35480	+	HAFFOH_00200	tnp-IS110	IS110 family transposase	COG:COG3547, COG:X, SO:0001217, UniParc:UPI0002EE133B, UniRef100:UniRef100_A0A075MIT2, UniRef50:UniRef50_C4NV47, UniRef90:UniRef90_D3VY52
contig_1	cds	35662	35838	-	HAFFOH_00205		DUF4102 domain-containing protein	RefSeq:WP_000954592.1, SO:0001217, UniParc:UPI000169F3E5, UniRef100:UniRef100_A0A075MD86, UniRef50:UniRef50_A0A6Y6N0T6, UniRef90:UniRef90_A0A075MD86
contig_1	cds	36135	36518	-	HAFFOH_00210		hypothetical protein	
contig_1	cds	36528	36989	-	HAFFOH_00215		hypothetical protein	SO:0001217, UniRef50:UniRef50_A0A486KSZ2, UniRef90:UniRef90_A0A486KSZ2
contig_1	cds	37044	37847	+	HAFFOH_00220	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	COG:COG3231, COG:J, RefSeq:WP_001082319.1, SO:0001217, UniParc:UPI0000061CB6, UniRef100:UniRef100_Q8GJ11, UniRef50:UniRef50_Q8GJ11, UniRef90:UniRef90_Q8GJ11
