#Annotated with Bakta (v1.0.3): https://github.com/oschwengers/bakta
#Database (v2.0): https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	732	995	-	HONIHN_00005		hypothetical protein	
contig_1	cds	1001	1723	-	HONIHN_00010	tnp-IS6	IS6-like element IS26 family transposase	COG:COG3316, COG:X, RefSeq:WP_001313567.1, SO:0001217, UniParc:UPI000049F13E, UniRef100:UniRef100_A0A6D1P4S9, UniRef50:UniRef50_C7EZD9, UniRef90:UniRef90_C7EZD9
contig_1	cds	2527	3168	-	HONIHN_00015		TetA resistance protein	COG:COG1309, COG:K, RefSeq:WP_013851373.1, SO:0001217, UniParc:UPI000158AAE8, UniRef100:UniRef100_A0A2P4S2Q8, UniRef50:UniRef50_P03038, UniRef90:UniRef90_D3INX2
contig_1	cds	3437	4495	+	HONIHN_00020	tet(A)	tetracycline efflux MFS transporter Tet(A)	COG:COG2814, COG:G, SO:0001217, UniRef50:UniRef50_P02981, UniRef90:UniRef90_Q9EWD0
contig_1	cds	5004	5243	-	HONIHN_00025		hypothetical protein	SO:0001217, UniRef50:UniRef50_A0A366EMY7, UniRef90:UniRef90_A0A366EMY7
contig_1	cds	5343	5513	+	HONIHN_00030		hypothetical protein	
contig_1	cds	5532	6254	+	HONIHN_00035	tnp-IS6	IS6-like element IS26 family transposase	COG:COG3316, COG:X, SO:0001217, UniRef50:UniRef50_A0A345N8K8, UniRef90:UniRef90_A0A482M3B9
contig_1	cds	6343	6780	+	HONIHN_00040		Mrr_cat domain-containing protein	COG:COG1715, COG:V, RefSeq:WP_020325134.1, SO:0001217, UniParc:UPI0003430F42, UniRef100:UniRef100_A0A6C7H2D2, UniRef50:UniRef50_W8RB39, UniRef90:UniRef90_A0A6C7H2D2
contig_1	cds	7610	7891	-	HONIHN_00045		hypothetical protein	
contig_1	cds	8123	8806	+	HONIHN_00050	ecoRIIM	Modification methylase EcoRII	COG:COG0270, COG:L, EC:2.1.1.37, GO:0003886, GO:0009307, RefSeq:WP_080902038.1, SO:0001217, UniParc:UPI0009BBEDB3, UniRef100:UniRef100_A0A3G4RR15, UniRef50:UniRef50_P05101, UniRef90:UniRef90_P05101
contig_1	cds	8840	10048	-	HONIHN_00055	ecoRIIR	type II site-specific deoxyribonuclease	EC:3.1.21.4, GO:0003677, GO:0009036, GO:0009307, RefSeq:WP_001749969.1, SO:0001217, UniParc:UPI00000BEC8A, UniRef100:UniRef100_F6IBA5, UniRef50:UniRef50_P14633, UniRef90:UniRef90_P14633
contig_1	cds	10061	10183	-	HONIHN_00060		hypothetical protein	SO:0001217, UniParc:UPI0003DBF152, UniRef100:UniRef100_A0A068F2N7, UniRef50:UniRef50_A0A068F2N7, UniRef90:UniRef90_A0A068F2N7
contig_1	cds	10315	11109	-	HONIHN_00065	tnp-IS6100	IS6-like element IS6100 family transposase	SO:0001217, UniParc:UPI000005E804, UniRef100:UniRef100_C7S9U1, UniRef50:UniRef50_E2CSF8, UniRef90:UniRef90_Q6QWQ8
contig_1	cds	11222	11497	-	HONIHN_00070		MobC domain-containing protein	SO:0001217, UniParc:UPI0005833FAD, UniRef100:UniRef100_A0A679FEV3, UniRef50:UniRef50_A0A679FEV3, UniRef90:UniRef90_A0A679FEV3
contig_1	cds	11709	12170	-	HONIHN_00075	dfrA14	trimethoprim-resistant dihydrofolate reductase DfrA14	COG:COG0262, COG:H, SO:0001217, UniRef50:UniRef50_P00382, UniRef90:UniRef90_F8T8W2
contig_1	ncRNA-region	12176	12248	-			putative aminoglycoside riboswitch / attI site	RFAM:RF02912, SO:0000035
contig_1	sorf	12198	12236	-	HONIHN_00080	estX	Streptothricin acetyltransferase	SO:0001217, UniParc:UPI00000B6A7E, UniRef100:UniRef100_A9QNW9, UniRef50:UniRef50_A0A2R4A7Q1, UniRef90:UniRef90_B2G4W1
contig_1	cds	12338	13351	+	HONIHN_00085	intI1	class 1 integron integrase IntI1	COG:COG4974, COG:L, GO:0003677, GO:0006310, GO:0015074, GO:0044826, GO:0046718, GO:0075713, RefSeq:WP_000845039.1, SO:0001217, UniParc:UPI0000003DA4, UniRef100:UniRef100_Q2V0Z1, UniRef50:UniRef50_P62590, UniRef90:UniRef90_P62590
contig_1	cds	13879	14601	+	HONIHN_00090	tnp-IS6	IS6-like element IS26 family transposase	COG:COG3316, COG:X, RefSeq:WP_001313567.1, SO:0001217, UniParc:UPI000049F13E, UniRef100:UniRef100_A0A6D1P4S9, UniRef50:UniRef50_C7EZD9, UniRef90:UniRef90_C7EZD9
contig_1	cds	14731	15309	+	HONIHN_00095		Oxidoreductase	SO:0001217, UniParc:UPI0003DCE8C1, UniRef100:UniRef100_A0A6V8T284, UniRef50:UniRef50_A0A486LCL0, UniRef90:UniRef90_A0A486LCL0
contig_1	cds	15401	16045	-	HONIHN_00100	qnrB1	quinolone resistance pentapeptide repeat protein QnrB1	COG:COG1357, COG:S, RefSeq:WP_014386481.1, SO:0001217, UniParc:UPI00025283F3, UniRef100:UniRef100_A0A5S9ED61, UniRef50:UniRef50_Q2PT27, UniRef90:UniRef90_A0A0H4IRC3
contig_1	cds	16617	19607	-	HONIHN_00105		Tn3-like element IS3000 family transposase	SO:0001217, UniRef50:UniRef50_T2FKX8, UniRef90:UniRef90_T2FKX8
contig_1	cds	20262	20501	+	HONIHN_00110		hypothetical protein	SO:0001217, UniParc:UPI0003FD25A5, UniRef100:UniRef100_A0A366EM98, UniRef50:UniRef50_A0A366EM98, UniRef90:UniRef90_A0A366EM98
contig_1	cds	20495	21217	+	HONIHN_00115	tnp-IS6	IS6-like element IS26 family transposase	COG:COG3316, COG:X, RefSeq:WP_001313567.1, SO:0001217, UniParc:UPI000049F13E, UniRef100:UniRef100_A0A6D1P4S9, UniRef50:UniRef50_C7EZD9, UniRef90:UniRef90_C7EZD9
contig_1	cds	21223	21915	+	HONIHN_00120	aac(6')-Ib-cr	fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr	COG:COG1670, COG:JO, SO:0001217, UniParc:UPI0001B22EC5, UniRef100:UniRef100_C7S9C9, UniRef50:UniRef50_Q849Y4, UniRef90:UniRef90_A0A0C5EWG3
contig_1	cds	22349	22876	+	HONIHN_00125	blaOXA	OXA-1 family class D beta-lactamase	SO:0001217, UniRef50:UniRef50_A0A377V4Q3, UniRef90:UniRef90_A0A140DR57
contig_1	cds	23014	23562	+	HONIHN_00130	catB3	type B-3 chloramphenicol O-acetyltransferase CatB3	RefSeq:WP_012783949.1, SO:0001217, UniParc:UPI0001B22EC7, UniRef100:UniRef100_C7S9D1, UniRef50:UniRef50_P26841, UniRef90:UniRef90_C7S9D1
contig_1	cds	23508	24230	-	HONIHN_00135	tnp-IS6	IS6-like element IS26 family transposase	COG:COG3316, COG:X, RefSeq:WP_001313567.1, SO:0001217, UniParc:UPI000049F13E, UniRef100:UniRef100_A0A6D1P4S9, UniRef50:UniRef50_C7EZD9, UniRef90:UniRef90_C7EZD9
contig_1	cds	24271	25179	+	HONIHN_00140	aac(3)-IIe	aminoglycoside N-acetyltransferase AAC(3)-IIe	SO:0001217, UniParc:UPI0004EF5639, UniRef100:UniRef100_A0A078K1Y1, UniRef90:UniRef90_P0A256
contig_1	cds	25192	25734	+	HONIHN_00145		AAA family ATPase	RefSeq:WP_002063889.1, SO:0001217, UniParc:UPI00000BF810, UniRef100:UniRef100_Q6SJ67, UniRef50:UniRef50_Q6SJ67, UniRef90:UniRef90_Q6SJ67
contig_1	cds	25805	26137	+	HONIHN_00150	tnp-IS3	IS3 family transposase	COG:COG2963, COG:X, SO:0001217, UniParc:UPI0001B22EC8, UniRef100:UniRef100_Q6SJ66, UniRef50:UniRef50_A0A2P9E4M0, UniRef90:UniRef90_A0A2P9E4M0
contig_1	cds	26134	26982	+	HONIHN_00155		Integrase	COG:COG2963, COG:X, SO:0001217, UniParc:UPI0001B22EC9, UniRef100:UniRef100_C7S9D6, UniRef50:UniRef50_N8RCI9, UniRef90:UniRef90_C7S9D6
contig_1	cds	26928	27650	-	HONIHN_00160	tnp-IS6	IS6-like element IS26 family transposase	COG:COG3316, COG:X, RefSeq:WP_001313567.1, SO:0001217, UniParc:UPI000049F13E, UniRef100:UniRef100_A0A6D1P4S9, UniRef50:UniRef50_C7EZD9, UniRef90:UniRef90_C7EZD9
contig_1	cds	27679	29649	-	HONIHN_00165		DDE_Tnp_Tn3 domain-containing protein	SO:0001217, UniRef50:UniRef50_A0A6C7H588, UniRef90:UniRef90_A0A6J4DJI3
contig_1	cds	29999	30298	-	HONIHN_00170		hypothetical protein	SO:0001217, UniRef50:UniRef50_A0A0K2YQR7, UniRef90:UniRef90_A0A0K2YQR7
contig_1	cds	30333	31268	-	HONIHN_00175	blaCTX-M	class A extended-spectrum beta-lactamase CTX-M-15	EC:3.5.2.6, GO:0008800, GO:0030655, GO:0046677, SO:0001217, UniParc:UPI0001B22EE8, UniRef100:UniRef100_C7S9T0, UniRef50:UniRef50_P52664, UniRef90:UniRef90_P28585
contig_1	cds	31464	31721	-	HONIHN_00180		TpnA	RefSeq:WP_000268165.1, SO:0001217, UniParc:UPI0003BB57C4, UniRef100:UniRef100_A0A291PZZ9, UniRef50:UniRef50_C1IUL8, UniRef90:UniRef90_A0A291PZZ9
contig_1	cds	31857	32579	+	HONIHN_00185	tnp-IS6	IS6-like element IS26 family transposase	COG:COG3316, COG:X, RefSeq:WP_001313567.1, SO:0001217, UniParc:UPI000049F13E, UniRef100:UniRef100_A0A6D1P4S9, UniRef50:UniRef50_C7EZD9, UniRef90:UniRef90_C7EZD9
contig_1	cds	32619	34397	+	HONIHN_00190		Mobile element protein	SO:0001217, UniParc:UPI00018246AD, UniRef100:UniRef100_C6G9V4, UniRef50:UniRef50_R4WC23, UniRef90:UniRef90_A0A0X8XBR1
contig_1	cds	34791	35480	+	HONIHN_00195	tnp-IS110	IS110 family transposase	COG:COG3547, COG:X, SO:0001217, UniParc:UPI0002EE133B, UniRef100:UniRef100_A0A075MIT2, UniRef50:UniRef50_C4NV47, UniRef90:UniRef90_D3VY52
contig_1	cds	35795	35980	+	HONIHN_00200		hypothetical protein	
contig_1	cds	36135	36518	-	HONIHN_00205		hypothetical protein	
contig_1	cds	36528	36989	-	HONIHN_00210		hypothetical protein	SO:0001217, UniRef50:UniRef50_A0A486KSZ2, UniRef90:UniRef90_A0A486KSZ2
contig_1	cds	37066	37287	+	HONIHN_00215		hypothetical protein	SO:0001217, UniRef50:UniRef50_A0A0B6F1P1, UniRef90:UniRef90_A0A0B6F1P1
contig_1	cds	37617	37847	+	HONIHN_00220		APH3	SO:0001217, UniParc:UPI0006DA83BC, UniRef100:UniRef100_A0A127T291, UniRef50:UniRef50_A0A127T291, UniRef90:UniRef90_A0A127T291
contig_1	cds	37844	38683	+	HONIHN_00225	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	COG:COG3570, COG:V, SO:0001217, UniParc:UPI0003E35420, UniRef100:UniRef100_V5KBE1, UniRef50:UniRef50_C5IWK8, UniRef90:UniRef90_Q7ATJ6
contig_1	cds	39404	40264	-	HONIHN_00230	blaTEM-1	class A broad-spectrum beta-lactamase TEM-1	EC:3.5.2.6, GO:0008800, GO:0030655, GO:0046677, RefSeq:WP_000027057.1, SO:0001217, UniParc:UPI00000000E4, UniRef100:UniRef100_P62593, UniRef50:UniRef50_P62593, UniRef90:UniRef90_P62593
contig_1	cds	41568	42509	+	HONIHN_00235		Tnp_DDE_dom domain-containing protein	SO:0001217, UniParc:UPI000233F6CA, UniRef100:UniRef100_G7RVH0, UniRef50:UniRef50_A0A6S5LDB8, UniRef90:UniRef90_A0A6S5LDB8
contig_1	cds	42543	42872	-	HONIHN_00240	tnp-IS6	IS6 family transposase	COG:COG3316, COG:X, SO:0001217, UniParc:UPI000188C014, UniRef100:UniRef100_B7JCL7, UniRef50:UniRef50_C7EZD9, UniRef90:UniRef90_C7EZD9
contig_1	cds	42869	43264	-	HONIHN_00245		DDE_Tnp_IS240 domain-containing protein	SO:0001217, UniRef50:UniRef50_A0A377F6L2, UniRef90:UniRef90_A0A6H1PYM9
contig_1	cds	43317	43577	-	HONIHN_00250	int	Integrase/recombinase	COG:COG4974, COG:L, GO:0003677, GO:0006310, GO:0015074, GO:0044826, GO:0046718, GO:0075713, SO:0001217, UniParc:UPI00032DDE56, UniRef100:UniRef100_A0A6G9I1V5, UniRef50:UniRef50_P62590, UniRef90:UniRef90_P62590
contig_1	cds	43535	44272	-	HONIHN_00255		class 1 integron integrase IntI1	SO:0001217, UniRef50:UniRef50_A0A080M621, UniRef90:UniRef90_UPI0009260233
contig_1	cds	44286	45266	+	HONIHN_00260	aadA1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	SO:0001217, UniRef50:UniRef50_Q79JG0, UniRef90:UniRef90_Q79JG0
contig_1	ncRNA-region	44419	44497	+			putative aminoglycoside riboswitch / attI site	RFAM:RF02912, SO:0000035
contig_1	cds	45449	45877	+	HONIHN_00265		hypothetical protein	
