#Annotated with Bakta v1.0.3, https://github.com/oschwengers/bakta
#Database v2.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	732	995	-	CPFALG_00005	92.5	10.1		
contig_1	1819	2322	-	CPFALG_00015	185.0	8.8		SO:0001217, UniParc:UPI000210AEB9, UniRef100:UniRef100_F6IBB7, UniRef50:UniRef50_F6IBB7, UniRef90:UniRef90_F6IBB7
contig_1	4520	4639	+	CPFALG_00030	44.1	11.6		
contig_1	5004	5246	-	CPFALG_00035	96.1	6.2		SO:0001217, UniParc:UPI00058BF636, UniRef100:UniRef100_A0A366EMY7, UniRef50:UniRef50_A0A366EMY7, UniRef90:UniRef90_A0A366EMY7
contig_1	7610	7891	-	CPFALG_00050	107.1	9.7		
contig_1	20262	20501	+	CPFALG_00110	86.5	10.0		SO:0001217, UniParc:UPI0003FD25A5, UniRef100:UniRef100_A0A366EM98, UniRef50:UniRef50_A0A366EM98, UniRef90:UniRef90_A0A366EM98
contig_1	29489	29812	+	CPFALG_00170	119.4	11.6		
contig_1	29999	30298	-	CPFALG_00175	111.6	11.0		SO:0001217, UniRef50:UniRef50_A0A0K2YQR7, UniRef90:UniRef90_A0A0K2YQR7
contig_1	36135	36518	-	CPFALG_00210	145.1	9.6		
contig_1	36528	36989	-	CPFALG_00215	172.9	10.1		SO:0001217, UniRef50:UniRef50_A0A486KSZ2, UniRef90:UniRef90_A0A486KSZ2
contig_1	45445	45735	+	CPFALG_00265	109.7	10.1		SO:0001217, UniParc:UPI0000174BE2, UniRef100:UniRef100_W8FVI9, UniRef50:UniRef50_Q9X2S9, UniRef90:UniRef90_A0A2X2HFC4
contig_1	47468	47758	-	CPFALG_00285	109.7	10.1		SO:0001217, UniParc:UPI0000174BE2, UniRef100:UniRef100_W8FVI9, UniRef50:UniRef50_Q9X2S9, UniRef90:UniRef90_A0A2X2HFC4
contig_1	47727	47897	-	CPFALG_00290	66.0	4.5		
contig_1	47875	48108	-	CPFALG_00295	94.1	10.6		
