#Annotated with Bakta v1.0.3, https://github.com/oschwengers/bakta
#Database v2.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	732	995	-	HAFFOH_00005	92.5	10.1		
contig_1	1819	2331	-	HAFFOH_00015	188.2	8.8		SO:0001217, UniParc:UPI000793608D, UniRef100:UniRef100_A0A6S5K651, UniRef50:UniRef50_F6IBB7, UniRef90:UniRef90_F6IBB7
contig_1	4520	4639	+	HAFFOH_00030	44.1	11.6		
contig_1	5004	5243	-	HAFFOH_00035	94.9	6.2		SO:0001217, UniRef50:UniRef50_A0A366EMY7, UniRef90:UniRef90_A0A366EMY7
contig_1	7610	7891	-	HAFFOH_00050	107.1	9.7		
contig_1	7913	8095	-	HAFFOH_00055	70.4	9.8		
contig_1	20262	20501	+	HAFFOH_00115	86.5	10.0		SO:0001217, UniParc:UPI0003FD25A5, UniRef100:UniRef100_A0A366EM98, UniRef50:UniRef50_A0A366EM98, UniRef90:UniRef90_A0A366EM98
contig_1	29999	30298	-	HAFFOH_00175	111.6	11.0		SO:0001217, UniRef50:UniRef50_A0A0K2YQR7, UniRef90:UniRef90_A0A0K2YQR7
contig_1	36135	36518	-	HAFFOH_00210	145.1	9.6		
contig_1	36528	36989	-	HAFFOH_00215	172.9	10.1		SO:0001217, UniRef50:UniRef50_A0A486KSZ2, UniRef90:UniRef90_A0A486KSZ2
contig_1	42616	42900	+	HAFFOH_00265	107.5	10.1		SO:0001217, UniRef50:UniRef50_Q9X2S9, UniRef90:UniRef90_J7FRR6
contig_1	44633	44917	-	HAFFOH_00280	107.5	10.1		SO:0001217, UniRef50:UniRef50_Q9X2S9, UniRef90:UniRef90_J7FRR6
contig_1	45040	45273	-	HAFFOH_00285	94.1	10.6		
